bank_name;account_number;balance;company_name;company_jurisdiction;company_incorporation_date
Fancy Swiss Bank;ZZ123123123;8924756;Blue Moon Limited;Malta;2014-01-31T00:00:00
Posh Uk Bank;ZZ123123124;9283745;European Investment SA;Luxembourg;1999-04-20T00:00:00
Oldschool German Bank;ZZ123123125;1234843;Finance Company Limited;Malta;2010-09-06T00:00:00
Fancy Swiss Bank;ZZ123123126;63645;Finance Holding Company Limited;Malta;2010-08-25T00:00:00
Posh Uk Bank;ZZ123123127;363632;Fintech Startup Limited;Cyprus;2010-01-26T00:00:00
Oldschool German Bank;ZZ123123128;234564;Jupiter Limited;Malta;2015-03-10T00:00:00
Fancy Swiss Bank;ZZ123123129;234123;Normal Offshore Limited;Panama;2003-10-01T00:00:00
Posh Uk Bank;ZZ123123130;12344;Oil & Gas OOO;Russia;2006-04-28T00:00:00
Oldschool German Bank;ZZ123123131;12;Piggybank BV;The Netherlands;1990-03-21T00:00:00
Fancy Swiss Bank;ZZ123123132;812937987;Secret Investments BV;British Virgin Islands;2013-09-12T00:00:00
Posh Uk Bank;ZZ123123133;384768678;Shell Company LLC;Malta;2007-06-14T00:00:00
Oldschool German Bank;ZZ123123134;5234897;Victoria HoIding Limited;British Virgin Islands;2013-09-12T00:00:00
Fancy Swiss Bank;ZZ123123135;78263495;Victoria Limited;Belize;2013-10-07T00:00:00
Posh Uk Bank;ZZ123123136;928765234;Zurich Lake Holdings GmbH;Switzerland;1995-12-12T00:00:00
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;